puu,dep,hosp
"2","01",19492
"3","02",28460
"4","03",7778
"5","04",3611
"6","05",6443
"7","06",30508
"8","07",11319
"9","08",6077
"10","09",1565
"11","10",15505
"12","11",5280
"13","12",5110
"14","13",139703
"15","14",15422
"16","15",4008
"17","16",1370
"18","17",7400
"19","18",9320
"20","19",5445
"21","21",21471
"22","22",6323
"23","23",2710
"24","24",3822
"25","25",13068
"26","26",17560
"27","27",14611
"28","28",22688
"29","29",7970
"30","2A",6223
"31","2B",2162
"32","30",15761
"33","31",24521
"34","32",2867
"35","33",32860
"36","34",21908
"37","35",19241
"38","36",13017
"39","37",16700
"40","38",34323
"41","39",9202
"42","40",3300
"43","41",14217
"44","42",54452
"45","43",5057
"46","44",24793
"47","45",24140
"48","46",1523
"49","47",4013
"50","48",1315
"51","49",21336
"52","50",9031
"53","51",31648
"54","52",9315
"55","53",6950
"56","54",36389
"57","55",11423
"58","56",15014
"59","57",82304
"60","58",3933
"61","59",119486
"62","60",54987
"63","61",8405
"64","62",52113
"65","63",12676
"66","64",9104
"67","65",5472
"68","66",5734
"69","67",91115
"70","68",88058
"71","69",126980
"72","70",8061
"73","71",23041
"74","72",15709
"75","73",12799
"76","74",28880
"77","75",236983
"78","76",36607
"79","77",78892
"80","78",107194
"81","79",2694
"82","80",29478
"83","81",6355
"84","82",3694
"85","83",30336
"86","84",14906
"87","85",7510
"88","86",4575
"89","87",6598
"90","88",17148
"91","89",10963
"92","90",13308
"93","91",117278
"94","92",206385
"95","93",177733
"96","94",191269
"97","95",100764
"98","971",11287
"99","972",6119
"100","973",12434
"101","974",7810
"102","976",4617
